

[T:226799]$050403020155,260330080024365,113.93384,22.52489,-0.06665,-0.18225,0.97705,-0.06250,0.00000,0.06250,0,0,0,0.354,0.245,1.331*

[T:227308]$050403020155,260330080024465,113.93384,22.52489,-0.06665,-0.18042,0.98022,-0.25000,-0.03125,0.09375,0,0,0,0.354,0.245,1.331*

[T:227817]$050403020155,260330080024565,113.93384,22.52489,-0.06763,-0.18213,0.98022,0.10938,-0.20313,-0.03125,0,0,0,0.354,0.245,1.331*

[T:228326]$050403020155,260330080024665,113.93384,22.52489,-0.06726,-0.18213,0.97937,-0.14063,0.15625,-0.09375,0,0,0,0.354,0.245,1.331*

[T:228835]$050403020155,260330080024765,113.93384,22.52489,-0.06726,-0.18237,0.97766,0.28125,-0.06250,-0.04688,0,0,0,0.354,0.245,1.331*

[T:229344]$050403020155,260330080025865,113.93384,22.52489,-0.06677,-0.18225,0.97852,0.20313,0.20313,0.04688,0,0,0,0.354,0.245,1.328*

[T:229853]$050403020155,260330080025965,113.93384,22.52489,-0.06653,-0.18140,0.97827,0.03125,-0.06250,0.12500,0,0,0,0.358,0.248,1.331*

[T:230362]$050403020155,260330080025065,113.93384,22.52489,-0.06665,-0.18298,0.97986,-0.01563,0.04688,0.01563,0,0,0,0.354,0.245,1.328*

[T:230871]$050403020155,260330080025165,113.93384,22.52489,-0.06641,-0.18298,0.97888,0.10938,0.03125,-0.03125,0,0,0,0.354,0.245,1.331*

[T:231379]$050403020155,260330080025265,113.93384,22.52489,-0.06702,-0.18201,0.97876,0.10938,0.14063,0.07813,0,0,0,0.358,0.248,1.331*

[T:231888]$050403020155,260330080025365,113.93384,22.52489,-0.06665,-0.18372,0.97827,-0.01563,-0.06250,0.12500,0,0,0,0.354,0.248,1.331*

[T:232397]$050403020155,260330080025465,113.93384,22.52489,-0.06775,-0.18188,0.97937,0.10938,-0.01563,-0.12500,0,0,0,0.354,0.245,1.331*

[T:232905]$050403020155,260330080025565,113.93384,22.52489,-0.06738,-0.18274,0.97937,-0.10938,0.18750,0.12500,0,0,0,0.358,0.248,1.331*

